time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,AtoBSpeed,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,BtoASpeed,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,AtoCSpeed,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,BtoCSpeed,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF,CtoCrightSpeed
1656,2,0.32306763285024154,0.55,1.3827983040581466,4.132798304058147,1.676737160120846,2.226737160120846,22.02345809004693,0.32669082125603865,13.131452781736318,1.676737160120846,2.226737160120846,0,13.590186915887852,39.12865474633616,0.32326283987915405,7.3910028820267435,0,13.590186915887852,1.676737160120846,2.226737160120846,44.170168702370056,0.31782477341389725,9.287716394390579,0,13.590186915887852,0,13.590186915887852,22.036047566005678,0.3222490931076179,13.123950614725473,0,13.590186915887852,0,13.590186915887852,9.696537459934394,0.4788647342995169,10.160327890969295
1657,2,0.32347616173808086,0.55,1.059357964869776,4.359357964869776,1.353474320241692,2.4534743202416918,21.86649875705284,0.32669082125603865,13.225711313601183,1.353474320241692,2.4534743202416918,1.059357964869776,4.359357964869776,37.91638021089322,0.32347616173808086,7.6273103706485665,0,13.817445482866045,1.353474320241692,2.4534743202416918,46.78293750976737,0.31782477341389725,8.769008998512541,0,13.817445482866045,0,13.817445482866045,21.61356630856213,0.3222490931076179,13.38048500979843,0,13.817445482866045,0,13.817445482866045,9.042268060119902,0.4788647342995169,10.895496499878549
1658,2,0.3232810615199035,0.55,0.7359176256814051,4.585917625681406,1.0302114803625377,2.680211480362538,22.00256744240512,0.32669082125603865,13.143920624582679,1.0302114803625377,2.680211480362538,0.7359176256814051,4.585917625681406,39.35114977639948,0.32347616173808086,7.349213470083796,0,14.044704049844238,1.0302114803625377,2.680211480362538,49.46146757040119,0.31782477341389725,8.294133194007703,0,14.044704049844238,0,14.044704049844238,21.894647078234684,0.3220747889022919,13.208707999111422,0,14.044704049844238,0,14.044704049844238,9.819246642536587,0.47889022919179736,10.033356283486684
1659,2,0.32368896925858953,0.55,0.4124772864930346,4.812477286493035,0.7069486404833838,2.906948640483384,21.558116922807116,0.32670283303194697,13.414900802121766,0.7069486404833838,2.906948640483384,0.4124772864930346,4.812477286493035,36.13018633407917,0.32368896925858953,8.00438717159942,0,14.271962616822432,0.7069486404833838,2.906948640483384,48.329601788463606,0.3176612417118746,8.488379477977103,0,14.271962616822432,0,14.271962616822432,21.580568165527247,0.3220747889022919,13.400944673086386,0,14.271962616822432,0,14.271962616822432,9.892303536730632,0.47920433996383366,9.95925768292392
1660,2,0.32349397590361445,0.55,0.08903694730466416,5.039036947304664,0.38368580060422985,3.13368580060423,21.93288587721707,0.32670283303194697,13.1856793318935,0.38368580060422985,3.13368580060423,0.08903694730466416,5.039036947304664,35.675313252895634,0.32368896925858953,8.106445988292105,0,14.499221183800625,0.38368580060422985,3.13368580060423,49.165367305412964,0.3176612417118746,8.344084921640233,0,14.499221183800625,0.08903694730466416,5.039036947304664,22.45173144903746,0.3220747889022919,12.880966470512385,0,14.499221183800625,0,14.499221183800625,10.02386405702989,0.47920433996383366,9.82854510391194
1661,2,0.32390126429861527,0.55,0,5.265596608116294,0.06042296072507569,3.360422960725076,21.353595345505557,0.32670283303194697,13.543386737487744,0.06042296072507569,3.360422960725076,0,5.265596608116294,35.628730687460596,0.32390126429861527,8.117044711384649,0,14.726479750778818,0.06042296072507569,3.360422960725076,51.86337052166589,0.3176612417118746,7.910014252325203,0,14.726479750778818,0,5.265596608116294,21.697094034587895,0.3220951234196267,13.328973895719807,0,14.726479750778818,0,14.726479750778818,9.448801487349549,0.47922937989163156,10.426719212156453
1662,2,0.3237063778580024,0.55,0,5.492156268927923,0,3.587160120845922,22.000026399079506,0.3267148014440433,13.145438771478032,0,3.587160120845922,0,5.492156268927923,34.02765518563891,0.32390126429861527,8.498969394813146,0,14.953738317757011,0,3.587160120845922,51.47652224469799,0.3176612417118746,7.969458349378957,0,14.953738317757011,0,5.492156268927923,22.265707640394787,0.3220951234196267,12.988583370929067,0,14.953738317757011,0,14.953738317757011,10.303317294603913,0.47922937989163156,9.561968944855966
1663,2,0.32411304870715574,0.55,0,5.7187159297395525,0,3.813897280966768,21.883938744851235,0.3267148014440433,13.215171335098066,0,3.813897280966768,0,5.7187159297395525,33.26710131039591,0.32411304870715574,8.693273192083781,0,15.180996884735205,0,3.813897280966768,50.68690331130403,0.317498496692724,8.09360945726802,0,15.180996884735205,0,5.7187159297395525,22.518411874070885,0.3220951234196267,12.842823979652092,0,15.180996884735205,0,15.180996884735205,10.009977336091367,0.4792543595911004,9.842180126101011
1664,2,0.3239182692307692,0.55,0,5.945275590551182,0,4.040634441087613,21.57817525799395,0.3267148014440433,13.402430768230117,0,4.040634441087613,0,4.040634441087613,32.16870835150676,0.32411304870715574,8.990102954707352,0,15.408255451713398,0,4.040634441087613,47.85935713865366,0.317498496692724,8.571782500368549,0,15.408255451713398,0,5.945275590551182,22.142341465889498,0.32211538461538464,13.06094933300146,0,15.408255451713398,0,15.408255451713398,8.931482529059808,0.4792543595911004,11.030643533081054
1665,2,0.32432432432432434,0.55,0,4.26737160120846,0,4.26737160120846,21.8316591327813,0.3267267267267267,13.246817305137936,0,4.26737160120846,0,4.26737160120846,30.012043810678694,0.32432432432432434,9.636131475227911,0,15.635514018691591,0,4.26737160120846,46.95126859219961,0.317498496692724,8.7375700870446,0,15.635514018691591,0,4.26737160120846,21.782354838885883,0.32211538461538464,13.276801435798845,0,15.635514018691591,0,15.635514018691591,9.618188164277882,0.47927927927927927,10.24309343062189
1666,2,0.3241296518607443,0.55,0,4.494108761329306,0,4.494108761329306,21.500313820386932,0.3267267267267267,13.450966456395443,0,4.494108761329306,0,4.494108761329306,29.29395808794278,0.32432432432432434,9.872342929275678,0,15.862772585669784,0,4.494108761329306,45.774675350391306,0.317498496692724,8.962160776886712,0,15.862772585669784,0,4.494108761329306,22.548943983762072,0.32211538461538464,12.825434317822532,0,15.862772585669784,0,15.862772585669784,8.925524119120336,0.47927927927927927,11.038007257069598
1667,2,0.3245350929814037,0.55,0,4.720845921450152,0,4.720845921450152,21.55707394426937,0.3267267267267267,13.415549844457418,0,4.720845921450152,0,4.720845921450152,29.12250539626053,0.3245350929814037,9.930464294364409,0,16.090031152647978,0,4.720845921450152,43.46757260361363,0.3173365326934613,9.437840105336251,0,16.090031152647978,0,4.720845921450152,21.527212969591986,0.32213557288542294,13.434158913580967,0,16.090031152647978,0,16.090031152647978,8.642841276391527,0.4793041391721656,11.399029190679883
